"ASC_pt","ASC_bike","ASC_walk","b_cost","b_tt_car","b_tt_pt","b_tt_bike","b_tt_walk","b_tt_access","b_tt_waiting","b_transfers","b_tt_egress","b_pt_precip","b_pt_sun","b_bike_precip","b_bike_sun","b_walk_precip","b_walk_sun","logLike"
-1.377865,-1.891062,0.341877,-0.147952,-0.094219,-0.006232,-0.088146,-0.088666,-0.042881,-0.042344,-0.170433,-0.058349,0.003822,-0.005141,-0.005946,0.014546,0,-0.003108,-77098.626196351
-1.38422776151599,-1.88542566005324,0.348036502532328,-0.149007206081983,-0.0944156639055208,-0.00635171964672192,-0.0880113313516835,-0.0886096843771876,-0.0431691930297328,-0.0425077612617484,-0.172052592618268,-0.0588740251932324,0.00156724504223644,-0.00556670537282966,-0.00601767927418331,0.0150954843713778,-0.000317564372223477,-0.00241857111788793,-77072.8411536292
-1.38397787736827,-1.87662407112265,0.355891046812436,-0.148543825211026,-0.0947010046806461,-0.00627757517102168,-0.0880457960853425,-0.0886358631188991,-0.04299753666791,-0.0423811569394012,-0.170355332253843,-0.0586130088293948,-0.00317904390645153,-0.00564647456381279,-0.00762014596447777,0.0165966819771915,-0.00223354347518953,-0.000695468011731867,-77049.4932723999
-1.37748435207835,-1.89184244153512,0.33944563456713,-0.147875367410722,-0.0942946658103104,-0.00638105720813986,-0.0881638073825563,-0.0886317376322982,-0.0428439143462176,-0.0423139042472089,-0.17121297221527,-0.0583855099879369,-0.00560339807352087,-0.0049409679505105,-0.00972060908517011,0.0196799753546591,-0.00424170806452359,0.0021254549795909,-77042.7180290406
-1.37834179501564,-1.89101878398483,0.341430222984267,-0.14794239213329,-0.0941777222907912,-0.0061722850316769,-0.0881363394259497,-0.088629803081411,-0.0428862473797113,-0.0423446779838717,-0.170332292476255,-0.0583355901678765,-0.00564011348301464,-0.00505105515347876,-0.00977240627566139,0.019692404893686,-0.00430791986488193,0.00203485643185508,-77042.6990026959
-1.3777881194983,-1.89101155771735,0.341509096324487,-0.147947642512267,-0.0942083951012179,-0.00622674978636429,-0.088141891733786,-0.0886384210510928,-0.0428796636706028,-0.0423440629847986,-0.170418677980684,-0.0583443624690643,-0.00564123354111933,-0.00505011379948274,-0.00976978288913287,0.0196858107094275,-0.00430701004401087,0.00203071833858309,-77042.6975314667
-1.37779937580253,-1.8910489790243,0.341560312877856,-0.147948162175069,-0.0942115481918565,-0.00623141121976247,-0.0881412081072021,-0.0886449812831111,-0.0428788273220385,-0.04234401527393,-0.170432876714243,-0.0583463367369683,-0.00564072096142702,-0.00504482575971632,-0.00976811428918954,0.0196858023990963,-0.00430576287662219,0.00203309816752409,-77042.6972451177
-1.37782935184242,-1.89111279080569,0.341750414803733,-0.147949791395765,-0.0942174617713247,-0.00623688099140566,-0.0881401745153137,-0.0886611491872198,-0.042878470329447,-0.0423438837380802,-0.17044861891063,-0.058349426386044,-0.00564032481014986,-0.0050393750246146,-0.00976616201590873,0.0196859393513427,-0.00430444662513133,0.00203573164826939,-77042.6969007712
-1.3778513612789,-1.89111113829633,0.34182368529998,-0.147950374244246,-0.0942182459944627,-0.00623496175615691,-0.0881410524494342,-0.0886650112865393,-0.0428794478995425,-0.0423438721879194,-0.170442735898554,-0.0583493044560324,-0.00564049467045466,-0.00504108782777652,-0.00976674670635423,0.0196863377027597,-0.00430501284251082,0.00203502444176249,-77042.6968484569
-1.3778723977408,-1.8910927241735,0.341891578540647,-0.147951138096808,-0.0942188846188781,-0.00623192016742779,-0.0881431479288271,-0.0886676961356777,-0.0428808676417514,-0.0423439833812271,-0.170433311850811,-0.058348840007246,-0.00564079782541957,-0.0050443279985318,-0.00976781933241494,0.0196867243042844,-0.00430596949205691,0.00203365168174921,-77042.6968211064
-1.37787400546651,-1.89107967814108,0.341898175148285,-0.147951472563835,-0.0942192451768915,-0.00623130454046317,-0.0881444407733802,-0.0886676317230116,-0.0428812937199853,-0.0423441222386866,-0.170430935182848,-0.0583487403179323,-0.00564089282480783,-0.00504530155776898,-0.00976813372859925,0.0196867247689975,-0.00430623896439304,0.00203322316875699,-77042.6968175555
-1.37787400546651,-1.89107967814108,0.341898175148285,-0.147951472563835,-0.0942192451768915,-0.00623130454046317,-0.0881444407733802,-0.0886676317230116,-0.0428812937199853,-0.0423441222386866,-0.170430935182848,-0.0583487403179323,-0.00564089282480783,-0.00504530155776898,-0.00976813372859925,0.0196867247689975,-0.00430623896439304,0.00203322316875699,-77042.6968175555
-1.37787020799919,-1.89107329533404,0.341897601111539,-0.147951718652229,-0.0942197542018852,-0.00623170640350669,-0.0881451993454719,-0.0886676014478178,-0.0428813752636624,-0.0423442257700937,-0.170431388297201,-0.0583488757058204,-0.00564094504807781,-0.00504540663637964,-0.00976814940332802,0.0196866371391573,-0.00430626445111027,0.00203316577054799,-77042.6968166049
